CID,BDATE,GEN
NASAW00015569,22-08-1974,Female
NASAW00015570,05-02-1975,Female
NASAW00015571,06-03-1975,Male
NASAW00015572,16-09-1963,Female
NASAW00015573,21-08-1969,Male
NASAW00015574,17-01-1969,Male
NASAW00015575,06-01-1985,Male
NASAW00015576,18-03-1976,Female
NASAW00015577,25-08-1975,Female
NASAW00015578,16-08-1981,Female
NASAW00015579,04-07-1973,Female
NASAW00015580,20-02-1979,Male
NASAW00015581,25-10-1973,Female
NASAW00015582,18-01-1974,Male
NASAW00015583,28-03-1974,Female
NASAW00015584,14-10-1972,Female
NASAW00015585,05-03-1978,Male
NASAW00015586,24-02-1975,Male
NASAW00015587,10-10-1980,Female
NASAW00015588,03-07-1980,Female
NASAW00015589,13-10-1974,Male
NASAW00015590,24-09-1974,Male
NASAW00015591,22-03-1975,Male
NASAW00015592,01-10-1983,Female
NASAW00015593,18-03-1973,Female
NASAW00015594,05-03-1978,Female
NASAW00015595,05-08-1971,Male
NASAW00015596,02-07-1971,Male
NASAW00015597,06-08-1971,Male
NASAW00015598,20-04-1971,Female
NASAW00015599,18-11-1970,Male
NASAW00015600,02-05-1974,Male
NASAW00015601,09-08-1979,Female
NASAW00015602,14-01-1979,Male
NASAW00015603,02-09-1975,Male
NASAW00015604,13-06-1970,Male
NASAW00015605,21-02-1970,Male
NASAW00015606,10-06-1970,Male
NASAW00015607,19-09-1975,Male
NASAW00015608,10-05-1984,Female
NASAW00015609,11-08-1985,Male
NASAW00015610,11-04-1986,Female
NASAW00015611,08-02-1984,Female
NASAW00015612,05-10-1983,Male
NASAW00015613,14-03-1984,Female
NASAW00015614,13-05-1980,Female
NASAW00015615,12-08-1984,Female
NASAW00015616,14-05-1984,Female
NASAW00015617,02-08-1984,Female
NASAW00015618,26-08-1978,Male
NASAW00015619,23-09-1978,Male
NASAW00015620,16-11-1978,Female
NASAW00015621,26-03-1979,Female
NASAW00015622,14-04-1978,Male
NASAW00015623,10-04-1978,Female
NASAW00015624,08-08-1983,Male
NASAW00015625,16-04-1978,Male
NASAW00015626,20-07-1983,Male
NASAW00015627,23-06-1978,Male
NASAW00015628,10-04-1922,Female
NASAW00015629,31-03-1977,Female
NASAW00015630,30-10-1976,Female
NASAW00015631,11-05-1977,Male
NASAW00015632,08-07-1976,Female
NASAW00015633,08-02-1977,Female
NASAW00015634,23-05-1982,Male
NASAW00015635,20-02-1977,Female
NASAW00015636,22-11-1975,Male
NASAW00015637,19-01-1977,Male
NASAW00015638,23-01-1947,Female
NASAW00015639,30-08-1985,Female
NASAW00015640,14-10-1985,Male
NASAW00015641,01-11-1983,Male
NASAW00015642,21-02-1983,Female
NASAW00015643,20-03-1983,Male
NASAW00015644,16-02-1985,Female
NASAW00015645,08-09-1984,Male
NASAW00015646,02-05-1984,Female
NASAW00015647,19-05-1984,Female
NASAW00015648,03-03-1984,Male
NASAW00015649,07-04-1954,Female
NASAW00015650,31-01-1972,Male
NASAW00015651,09-07-1972,Female
NASAW00015652,22-11-1966,Female
NASAW00015653,01-12-1977,Male
NASAW00015654,09-09-1965,Male
NASAW00015655,30-10-1971,Female
NASAW00015656,13-12-1965,Male
NASAW00015657,18-12-1965,Male
NASAW00015658,12-02-1965,Female
NASAW00015659,13-08-1964,Female
NASAW00015660,01-03-1965,Female
NASAW00015661,16-02-1965,Male
NASAW00015662,21-11-1965,Female
NASAW00015663,05-01-1965,Female
NASAW00015664,22-04-1970,Female
NASAW00015665,02-01-1965,Female
NASAW00015666,18-10-1981,Female
NASAW00015667,16-03-1976,Male
NASAW00015668,23-02-1981,Male
NASAW00015669,20-04-1981,Female
NASAW00015670,31-01-1975,Male
NASAW00015671,24-11-1974,Male
NASAW00015672,19-07-1974,Male
NASAW00015673,04-06-1980,Male
NASAW00015674,05-01-1975,Male
NASAW00015675,15-04-1975,Male
NASAW00015676,05-10-1974,Male
NASAW00015677,08-02-1975,Female
NASAW00015678,04-06-1980,Female
NASAW00015679,10-03-1958,Male
NASAW00015680,05-09-1956,Female
NASAW00015681,07-02-1960,Female
NASAW00015682,18-11-1949,Female
NASAW00015683,20-12-1949,Female
NASAW00015684,07-07-1955,Male
NASAW00015685,07-12-1949,Female
NASAW00015686,31-12-1949,Male
NASAW00015687,16-12-1950,Male
NASAW00015688,04-11-1950,Male
NASAW00015689,06-07-1950,Female
NASAW00015690,10-12-1951,Male
NASAW00015691,15-12-1959,Male
NASAW00015692,12-10-1959,Male
NASAW00015693,16-01-1960,Female
NASAW00015694,18-01-1959,Female
NASAW00015695,16-12-1959,Male
NASAW00015696,03-12-1958,Male
NASAW00015697,03-01-1959,Female
NASAW00015698,31-08-1958,Female
NASAW00015699,11-03-1959,Male
NASAW00015700,19-05-1958,Male
NASAW00015701,27-03-1958,Female
NASAW00015702,15-02-1958,Female
NASAW00015703,02-05-1962,Female
NASAW00015704,10-09-1956,Male
NASAW00015705,19-09-1955,Male
NASAW00015706,25-05-1955,Female
NASAW00015707,11-09-1960,Female
NASAW00015708,17-07-1960,Female
NASAW00015709,31-08-1959,Female
NASAW00015710,22-07-1953,Female
NASAW00015711,30-12-1953,Male
NASAW00015712,04-06-1954,Female
NASAW00015713,07-12-1953,Female
NASAW00015714,16-03-1953,Female
NASAW00015715,17-12-1980,Female
NASAW00015716,17-12-1980,Male
NASAW00015717,23-11-1981,Female
NASAW00015718,13-10-1981,Female
NASAW00015719,10-01-1982,Female
NASAW00015720,23-01-1980,Female
NASAW00015721,11-08-1985,Female
NASAW00015722,25-05-1980,Female
NASAW00015723,14-03-1985,Female
NASAW00015724,30-10-1979,Male
NASAW00015725,15-01-1979,Male
NASAW00015726,27-08-1978,Female
NASAW00015727,31-10-1977,Female
NASAW00015728,31-01-1979,Male
NASAW00015729,21-09-1983,Female
NASAW00015730,18-08-1977,Male
NASAW00015731,16-09-1976,Male
NASAW00015732,25-05-1983,Female
NASAW00015733,22-09-1977,Female
NASAW00015734,08-01-1976,Female
NASAW00015735,30-10-1975,Female
NASAW00015736,11-12-1946,Female
NASAW00015737,02-10-1946,Male
NASAW00015738,20-01-1947,Female
NASAW00015739,14-06-1948,Male
NASAW00015740,09-10-1947,Male
NASAW00015741,09-04-1948,Female
NASAW00015742,06-05-1948,Female
NASAW00015743,14-02-1953,Female
NASAW00015744,19-09-1947,Female
NASAW00015745,12-02-1948,Male
NASAW00015746,31-05-1949,Female
NASAW00015747,24-08-1949,Male
NASAW00015748,07-12-1949,Male
NASAW00015749,24-04-1950,Female
NASAW00015750,16-10-1984,Female
NASAW00015751,21-02-1966,Female
NASAW00015752,31-03-1961,Male
NASAW00015753,21-06-1962,Female
NASAW00015754,21-12-1961,Female
NASAW00015755,22-01-1967,Male
NASAW00015756,01-01-1974,Female
NASAW00015757,07-01-1963,Male
NASAW00015758,22-05-1969,Male
NASAW00015759,07-05-1979,Female
NASAW00015760,01-11-1979,Male
NASAW00015761,16-04-1980,Male
NASAW00015762,05-11-1979,Male
NASAW00015763,22-01-1980,Male
NASAW00015764,12-12-1964,Male
NASAW00015765,16-04-1965,Male
NASAW00015766,12-02-1965,Female
NASAW00015767,20-05-1970,Male
NASAW00015768,25-05-1972,Female
NASAW00015769,06-11-1971,Female
NASAW00015770,06-04-1983,Male
NASAW00015771,23-07-1963,Female
NASAW00015772,09-03-1968,Male
NASAW00015773,02-04-1963,Male
NASAW00015774,24-02-1968,Female
NASAW00015775,13-12-1979,Female
NASAW00015776,06-09-1979,Male
NASAW00015777,18-01-1968,Female
NASAW00015778,07-11-1962,Male
NASAW00015779,14-08-1973,Male
NASAW00015780,10-05-1968,Female
NASAW00015781,30-09-1962,Male
NASAW00015782,19-11-1968,Female
NASAW00015783,07-01-1973,Male
NASAW00015784,03-03-1973,Female
NASAW00015785,24-10-1967,Male
NASAW00015786,02-05-1968,Male
NASAW00015787,18-11-1966,Female
NASAW00015788,15-09-1971,Female
NASAW00015789,12-02-1972,Female
NASAW00015790,13-12-1965,Male
NASAW00015791,20-03-1966,Female
NASAW00015792,05-08-1976,Male
NASAW00015793,08-04-1976,Female
NASAW00015794,15-12-1981,Female
NASAW00015795,16-07-1970,Female
NASAW00015796,08-11-1970,Male
NASAW00015797,25-09-1970,Male
NASAW00015798,19-03-1970,Female
NASAW00015799,11-07-1964,Female
NASAW00015800,07-12-1970,Male
NASAW00015801,12-05-1969,Female
NASAW00015802,18-10-1979,Female
NASAW00015803,16-04-1968,Male
NASAW00015804,17-02-1968,Female
NASAW00015805,30-08-1967,Female
NASAW00015806,02-01-1973,Male
NASAW00015807,29-10-1972,Male
NASAW00015808,19-07-1966,Female
NASAW00015809,15-03-1966,Male
NASAW00015810,03-09-1971,Female
NASAW00015811,02-05-1971,Male
NASAW00015812,07-10-1964,Male
NASAW00015813,30-01-1982,Male
NASAW00015814,14-10-1981,Female
NASAW00015815,24-07-1980,Female
NASAW00015816,17-11-1981,Female
NASAW00015817,05-01-1982,Female
NASAW00015818,16-01-1982,Male
NASAW00015819,15-03-1986,Female
NASAW00015820,01-04-1986,Male
NASAW00015821,25-06-1986,Male
NASAW00015822,17-04-1944,Male
NASAW00015823,23-03-1944,Female
NASAW00015824,30-11-1982,Female
NASAW00015825,02-12-1981,Female
NASAW00015826,08-07-1984,Female
NASAW00015827,03-11-1984,Female
NASAW00015828,20-05-1945,Female
NASAW00015829,13-11-1944,Male
NASAW00015830,13-08-1945,Female
NASAW00015831,13-08-1945,Male
NASAW00015832,02-10-1946,Male
NASAW00015833,20-09-1948,Female
NASAW00015834,22-09-1981,Female
NASAW00015835,25-10-1981,Male
NASAW00015836,13-10-1981,Male
NASAW00015837,19-04-1981,Female
NASAW00015838,13-02-1985,Female
NASAW00015839,18-11-1979,Male
NASAW00015840,25-08-1977,Female
NASAW00015841,11-05-1983,Male
NASAW00015842,09-01-1983,Female
NASAW00015843,02-05-1974,Male
NASAW00015844,24-06-1974,Female
NASAW00015845,17-06-1974,Female
NASAW00015846,06-09-1979,Male
NASAW00015847,10-05-1979,Male
NASAW00015848,24-08-1979,Female
NASAW00015849,29-08-1972,Female
NASAW00015850,04-10-1978,Female
NASAW00015851,18-12-1972,Female
NASAW00015852,22-08-1978,Male
NASAW00015853,21-08-1972,Female
NASAW00015854,24-02-1973,Female
NASAW00015855,14-10-1968,Male
NASAW00015856,02-08-1973,Male
NASAW00015857,03-12-1964,Female
NASAW00015858,12-12-1964,Male
NASAW00015859,01-09-1964,Female
NASAW00015860,19-04-1978,Male
NASAW00015861,23-11-1977,Male
NASAW00015862,06-06-1978,Female
NASAW00015863,31-01-1979,Male
NASAW00015864,16-10-1984,Female
NASAW00015865,11-10-1976,Female
NASAW00015866,30-12-1981,Female
NASAW00015867,07-08-1976,Female
NASAW00015868,10-12-1976,Male
NASAW00015869,20-06-1977,Female
NASAW00015870,29-11-1976,Female
NASAW00015871,22-06-1977,Male
NASAW00015872,29-09-1983,Female
NASAW00015873,16-10-1983,Female
NASAW00015874,10-12-1949,Male
NASAW00015875,16-08-1949,Male
NASAW00015876,17-04-1950,Male
NASAW00015877,07-10-1956,Male
NASAW00015878,21-10-1950,Male
NASAW00015879,18-11-1950,Male
NASAW00015880,13-05-1951,Male
NASAW00015881,17-02-1951,Female
NASAW00015882,01-05-1951,Male
NASAW00015883,13-05-1951,Male
NASAW00015884,04-01-1951,Male
NASAW00015885,15-11-1951,Male
NASAW00015886,16-10-1951,Male
NASAW00015887,09-02-1952,Female
NASAW00015888,02-11-1951,Female
NASAW00015889,17-05-1952,Male
NASAW00015890,26-08-1952,Male
NASAW00015891,08-12-1952,Male
NASAW00015892,05-07-1964,Female
NASAW00015893,15-05-1954,Female
NASAW00015894,06-05-1970,Female
NASAW00015895,06-05-1970,Female
NASAW00015896,15-12-1953,Male
NASAW00015897,14-09-1953,Female
NASAW00015898,29-10-1954,Male
NASAW00015899,29-12-1954,Male
NASAW00015900,24-03-1961,Male
NASAW00015901,27-08-1955,Female
NASAW00015902,23-10-1955,Male
NASAW00015903,06-01-1956,Female
NASAW00015904,25-07-1955,Female
NASAW00015905,15-10-1956,Female
NASAW00015906,02-09-1956,Female
NASAW00015907,15-10-1956,Male
NASAW00015908,12-09-1973,Male
NASAW00015909,06-03-1957,Female
NASAW00015910,05-12-1956,Male
NASAW00015911,23-04-1963,Female
NASAW00015912,04-09-1957,Female
NASAW00015913,14-12-1957,Male
NASAW00015914,19-08-1963,Male
NASAW00015915,08-01-1958,Male
NASAW00015916,11-01-1958,Male
NASAW00015917,20-03-1958,Female
NASAW00015918,02-08-1957,Male
NASAW00015919,04-11-1963,Female
NASAW00015920,11-02-1963,Male
NASAW00015921,22-11-1968,Male
NASAW00015922,12-10-1968,Male
NASAW00015923,04-10-1967,Male
NASAW00015924,18-12-1961,Male
NASAW00015925,25-12-1961,Male
NASAW00015926,11-08-1961,Female
NASAW00015927,03-06-1962,Male
NASAW00015928,05-11-1961,Female
NASAW00015929,07-02-1962,Female
NASAW00015930,29-09-1960,Female
NASAW00015931,07-07-1960,Male
NASAW00015932,10-03-1961,Female
NASAW00015933,30-01-1966,Male
NASAW00015934,25-09-1961,Female
NASAW00015935,24-10-1944,Female
NASAW00015936,12-01-1939,Female
NASAW00015937,09-11-1970,Female
NASAW00015938,05-07-1976,Male
NASAW00015939,11-08-1970,Female
NASAW00015940,27-05-1971,Male
NASAW00015941,26-08-1970,Female
NASAW00015942,06-08-1975,Male
NASAW00015943,17-07-1969,Male
NASAW00015944,09-11-1969,Male
NASAW00015945,21-06-1975,Female
NASAW00015946,17-01-1970,Male
NASAW00015947,11-04-1970,Female
NASAW00015948,20-05-1970,Female
NASAW00015949,07-09-1975,Female
NASAW00015950,14-07-1961,Female
NASAW00015951,12-04-1962,Female
NASAW00015952,18-12-1961,Male
NASAW00015953,09-10-1939,Male
NASAW00015954,20-02-1980,Male
NASAW00015955,13-11-1974,Male
NASAW00015956,13-05-1974,Male
NASAW00015957,14-05-1969,Male
NASAW00015958,04-10-1967,Female
NASAW00015959,30-08-1967,Male
NASAW00015960,06-04-1968,Female
NASAW00015961,17-10-1978,Female
NASAW00015962,08-01-1972,Male
NASAW00015963,30-01-1978,Female
NASAW00015964,29-09-1972,Male
NASAW00015965,16-12-1966,Female
NASAW00015966,11-02-1961,Female
NASAW00015967,13-12-1960,Male
NASAW00015968,17-04-1966,Male
NASAW00015969,24-05-1977,Male
NASAW00015970,02-09-1965,Male
NASAW00015971,22-02-1941,Male
NASAW00015972,31-03-1941,Female
NASAW00015973,23-05-1942,Male
NASAW00015974,10-12-1965,Male
NASAW00015975,21-09-1971,Female
NASAW00015976,21-11-1965,Male
NASAW00015977,12-09-1965,Female
NASAW00015978,18-05-1966,Male
NASAW00015979,12-12-1965,Female
NASAW00015980,19-11-1965,Female
NASAW00015981,11-09-1965,Male
NASAW00015982,19-11-1965,Male
NASAW00015983,15-03-1966,Female
NASAW00015984,20-12-1965,Male
NASAW00015985,16-12-1965,Male
NASAW00015986,10-03-1960,Male
NASAW00015987,21-03-1971,Female
NASAW00015988,09-11-1959,Male
NASAW00015989,15-11-1965,Female
NASAW00015990,21-05-1964,Male
NASAW00015991,19-07-1958,Male
NASAW00015992,20-10-1958,Female
NASAW00015993,19-11-1958,Male
NASAW00015994,01-05-1958,Female
NASAW00015995,23-11-1957,Female
NASAW00015996,23-02-1963,Female
NASAW00015997,07-09-1948,Female
NASAW00015998,06-11-1942,Female
NASAW00015999,20-01-1943,Female
NASAW00016000,27-03-1943,Female
NASAW00016001,24-04-1943,Male
NASAW00016002,10-08-1942,Female
NASAW00016003,26-04-1943,Female
NASAW00016004,18-05-1944,Male
NASAW00016005,05-04-1944,Male
NASAW00016006,11-01-1944,Female
NASAW00016007,30-03-1945,Female
NASAW00016008,12-01-1945,Female
NASAW00016009,14-03-1945,Male
NASAW00016010,13-08-1945,Female
NASAW00016011,06-03-1946,Female
NASAW00016012,29-01-1974,Female
NASAW00016013,18-01-1974,Male
NASAW00016014,05-03-1979,Male
NASAW00016015,02-08-1984,Female
NASAW00016016,09-02-1950,Male
NASAW00016017,08-11-1984,Male
NASAW00016018,29-10-1984,Female
NASAW00016019,01-08-1984,Female
NASAW00016020,23-02-1984,Male
NASAW00016021,24-04-1984,Female
NASAW00016022,17-01-1984,Male
NASAW00016023,13-01-1953,Male
NASAW00016024,14-02-1984,Male
NASAW00016025,04-09-1950,Male
NASAW00016026,07-01-1952,Male
NASAW00016027,11-08-1957,Female
NASAW00016028,28-07-1951,Male
NASAW00016029,07-05-1952,Female
NASAW00016030,17-11-1952,Male
NASAW00016031,08-04-1953,Male
NASAW00016032,11-01-1959,Male
NASAW00016033,13-04-1977,Female
NASAW00016034,09-06-1968,Female
NASAW00016035,12-12-1978,Male
NASAW00016036,02-06-1967,Female
NASAW00016037,05-11-1966,Female
NASAW00016038,02-01-1978,Male
NASAW00016039,03-11-1966,Male
NASAW00016040,02-04-1979,Male
NASAW00016041,05-11-1966,Male
NASAW00016042,18-01-1942,Male
NASAW00016043,05-03-1980,Male
NASAW00016044,08-03-1964,Female
NASAW00016045,30-06-1969,Female
NASAW00016046,16-08-1969,Female
NASAW00016047,05-07-1968,Female
NASAW00016048,04-05-1979,Female
NASAW00016049,08-05-1968,Female
NASAW00016050,08-09-1962,Male
NASAW00016051,14-03-1973,Male
NASAW00016052,06-05-1962,Male
NASAW00016053,15-06-1967,Male
NASAW00016054,17-12-1961,Male
NASAW00016055,17-06-1961,Male
NASAW00016056,17-09-1966,Female
NASAW00016057,10-12-1966,Female
NASAW00016058,31-05-1965,Female
NASAW00016059,09-04-1944,Male
NASAW00016060,25-04-1976,Male
NASAW00016061,02-07-1981,Male
NASAW00016062,05-06-1981,Female
NASAW00016063,12-07-1981,Male
NASAW00016064,29-08-1974,Female
NASAW00016065,18-01-1975,Female
NASAW00016066,19-07-1980,Male
NASAW00016067,16-04-1980,Female
NASAW00016068,31-08-1974,Male
NASAW00016069,04-03-1975,Female
NASAW00016070,21-06-1975,Female
NASAW00016071,09-07-1976,Female
NASAW00016072,08-10-1982,Male
NASAW00016073,10-06-1977,Female
NASAW00016074,11-05-1977,Male
NASAW00016075,22-01-1977,Female
NASAW00016076,12-06-1982,Female
NASAW00016077,28-05-1982,Female
NASAW00016078,05-03-1977,Female
NASAW00016079,06-03-1977,Female
NASAW00016080,29-01-1974,Male
NASAW00016081,18-09-1973,Male
NASAW00016082,19-05-1979,Female
NASAW00016083,30-12-1972,Female
NASAW00016084,16-05-1973,Female
NASAW00016085,10-07-1975,Male
NASAW00016086,08-11-1975,Male
NASAW00016087,11-12-1975,Male
NASAW00016088,06-01-1973,Male
NASAW00016089,30-01-1973,Male
NASAW00016090,31-12-1972,Female
NASAW00016091,19-10-1983,Female
NASAW00016092,02-07-1971,Female
NASAW00016093,30-08-1971,Female
NASAW00016094,08-11-1977,Female
NASAW00016095,11-08-1971,Male
NASAW00016096,25-07-1974,Male
NASAW00016097,05-05-1975,Female
NASAW00016098,06-03-1975,Female
NASAW00016099,05-08-1980,Male
NASAW00016100,30-03-1980,Male
NASAW00016101,19-03-1975,Female
NASAW00016102,11-02-1971,Male
NASAW00016103,06-04-1982,Female
NASAW00016104,04-05-1971,Female
NASAW00016105,04-08-1970,Female
NASAW00016106,18-09-1970,Male
NASAW00016107,14-10-1980,Female
NASAW00016108,21-06-1975,Male
NASAW00016109,02-01-1970,Male
NASAW00016110,29-12-1969,Male
NASAW00016111,02-02-1980,Female
NASAW00016112,01-09-1968,Male
NASAW00016113,09-08-1979,Male
NASAW00016114,10-09-1968,Male
NASAW00016115,11-12-1973,Female
NASAW00016116,04-12-1973,Male
NASAW00016117,01-05-1968,Male
NASAW00016118,02-03-1968,Male
NASAW00016119,12-03-1967,Female
NASAW00016120,08-10-1977,Male
NASAW00016121,01-11-1966,Female
NASAW00016122,15-06-1967,Male
NASAW00016123,05-01-1967,Female
NASAW00016124,03-05-1967,Male
NASAW00016125,03-09-1966,Female
NASAW00016126,14-01-1967,Female
NASAW00016127,10-03-1983,Female
NASAW00016128,18-12-1977,Female
NASAW00016129,10-04-1966,Female
NASAW00016130,21-12-1971,Female
NASAW00016131,11-11-1965,Male
NASAW00016132,30-11-1971,Female
NASAW00016133,09-08-1978,Male
NASAW00016134,03-12-1972,Male
NASAW00016135,28-12-1972,Female
NASAW00016136,01-12-1972,Male
NASAW00016137,11-09-1972,Male
NASAW00016138,08-08-1972,Male
NASAW00016139,22-08-1971,Female
NASAW00016140,01-04-1971,Male
NASAW00016141,01-05-1966,Female
NASAW00016142,10-07-1964,Female
NASAW00016143,15-09-1964,Female
NASAW00016144,30-11-1970,Male
NASAW00016145,23-04-1965,Female
NASAW00016146,20-08-1964,Female
NASAW00016147,23-05-1964,Male
NASAW00016148,23-09-1963,Female
NASAW00016149,29-08-1963,Male
NASAW00016150,09-08-1974,Female
NASAW00016151,30-12-1968,Female
NASAW00016152,12-11-1969,Female
NASAW00016153,09-10-1963,Male
NASAW00016154,04-06-1964,Female
NASAW00016155,08-10-1974,Female
NASAW00016156,11-03-1975,Male
NASAW00016157,21-10-1985,Female
NASAW00016158,18-01-1975,Female
NASAW00016159,17-06-1980,Female
NASAW00016160,18-12-1973,Female
NASAW00016161,21-02-1974,Female
NASAW00016162,26-03-1974,Female
NASAW00016163,13-06-1973,Male
NASAW00016164,29-01-1978,Female
NASAW00016165,30-01-1978,Female
NASAW00016166,03-02-1984,Female
NASAW00016167,02-01-1978,Male
NASAW00016168,07-03-1973,Female
NASAW00016169,13-03-1978,Male
NASAW00016170,07-03-1972,Male
NASAW00016171,04-10-1971,Male
NASAW00016172,06-04-1983,Female
NASAW00016173,02-07-1981,Male
NASAW00016174,21-09-1970,Female
NASAW00016175,01-09-1976,Male
NASAW00016176,16-02-1974,Female
NASAW00016177,07-09-1979,Female
NASAW00016178,16-05-1974,Male
NASAW00016179,19-02-1974,Female
NASAW00016180,18-08-1976,Male
NASAW00016181,21-12-1970,Female
NASAW00016182,19-10-1969,Male
NASAW00016183,01-11-1975,Female
NASAW00016184,04-12-1969,Female
NASAW00016185,10-12-1975,Male
NASAW00016186,22-01-1980,Female
NASAW00016187,14-02-1986,Male
NASAW00016188,03-10-1985,Female
NASAW00016189,29-09-1984,Female
NASAW00016190,07-07-1984,Male
NASAW00016191,15-09-1983,Female
NASAW00016192,02-12-1983,Female
NASAW00016193,18-12-1983,Male
NASAW00016194,16-03-1979,Female
NASAW00016195,10-10-1978,Female
NASAW00016196,20-04-1979,Male
NASAW00016197,16-08-1983,Female
NASAW00016198,12-04-1978,Male
NASAW00016199,15-02-1978,Male
NASAW00016200,15-10-1976,Female
NASAW00016201,05-03-1977,Male
NASAW00016202,18-10-1976,Male
NASAW00016203,01-11-1975,Male
NASAW00016204,09-04-1982,Male
NASAW00016205,28-03-1982,Female
NASAW00016206,15-11-1976,Female
NASAW00016207,09-03-1982,Male
NASAW00016208,17-01-1977,Female
NASAW00016209,15-09-1975,Female
NASAW00016210,09-09-1979,Female
NASAW00016211,22-05-1980,Male
NASAW00016212,03-07-1935,Female
NASAW00016213,13-11-1971,Female
NASAW00016214,30-01-1977,Male
NASAW00016215,09-11-1971,Male
NASAW00016216,23-03-1983,Male
NASAW00016217,24-03-1972,Female
NASAW00016218,30-09-1964,Female
NASAW00016219,18-11-1964,Male
NASAW00016220,03-01-1959,Female
NASAW00016221,10-05-1964,Male
NASAW00016222,17-06-1959,Male
NASAW00016223,15-11-1958,Male
NASAW00016224,17-01-1959,Male
NASAW00016225,07-04-1970,Male
NASAW00016226,20-11-1958,Female
NASAW00016227,16-12-1959,Male
NASAW00016228,23-12-1966,Male
NASAW00016229,13-11-1971,Male
NASAW00016230,31-10-1960,Male
NASAW00016231,08-05-1961,Female
NASAW00016232,04-04-1961,Male
NASAW00016233,18-09-1971,Female
NASAW00016234,04-11-1961,Male
NASAW00016235,13-02-1967,Male
NASAW00016236,13-12-1967,Male
NASAW00016237,12-07-1962,Female
NASAW00016238,01-06-1963,Female
NASAW00016239,31-05-1963,Male
NASAW00016240,11-08-1974,Female
NASAW00016241,03-04-1975,Female
NASAW00016242,24-08-1963,Female
NASAW00016243,23-12-1963,Female
NASAW00016244,15-12-1969,Male
NASAW00016245,21-09-1969,Female
NASAW00016246,25-05-1964,Male
NASAW00016247,30-10-1964,Female
NASAW00016248,27-08-1964,Female
NASAW00016249,01-12-1970,Male
NASAW00016250,18-05-1979,Male
NASAW00016251,08-03-1978,Female
NASAW00016252,21-03-1973,Male
NASAW00016253,02-03-1973,Female
NASAW00016254,17-02-1973,Female
NASAW00016255,18-02-1973,Female
NASAW00016256,13-01-1973,Male
NASAW00016257,14-10-1978,Female
NASAW00016258,02-05-1973,Female
NASAW00016259,19-10-1971,Female
NASAW00016260,16-02-1977,Female
NASAW00016261,03-02-1984,Female
NASAW00016262,14-05-1984,Female
NASAW00016263,08-12-1972,Male
NASAW00016264,20-10-1933,Female
NASAW00016265,13-12-1982,Female
NASAW00016266,16-10-1971,Female
NASAW00016267,21-04-1972,Male
NASAW00016268,19-05-1972,Female
NASAW00016269,25-08-1971,Female
NASAW00016270,08-12-1971,Male
NASAW00016271,11-12-1970,Female
NASAW00016272,04-02-1971,Male
NASAW00016273,10-05-1976,Female
NASAW00016274,13-09-1969,Male
NASAW00016275,30-06-1969,Female
NASAW00016276,29-08-1980,Female
NASAW00016277,28-03-1970,Female
NASAW00016278,21-12-1969,Male
NASAW00016279,22-12-1968,Female
NASAW00016280,15-02-1969,Male
NASAW00016281,05-07-1968,Male
NASAW00016282,28-02-1969,Female
NASAW00016283,09-09-1974,Male
NASAW00016284,08-12-1968,Male
NASAW00016285,01-05-1972,Female
NASAW00016286,20-11-1977,Male
NASAW00016287,02-05-1972,Female
NASAW00016288,16-08-1985,Male
NASAW00016289,24-03-1971,Female
NASAW00016290,22-04-1971,Male
NASAW00016291,05-07-1969,Female
NASAW00016292,01-05-1975,Female
NASAW00016293,12-05-1970,Male
NASAW00016294,21-06-1975,Male
NASAW00016295,10-11-1974,Male
NASAW00016296,19-06-1969,Female
NASAW00016297,08-09-1974,Female
NASAW00016298,12-11-1968,Female
NASAW00016299,24-05-1983,Female
NASAW00016300,10-05-1983,Male
NASAW00016301,06-08-1982,Male
NASAW00016302,11-05-1985,Female
NASAW00016303,06-03-1985,Female
NASAW00016304,14-04-1985,Male
NASAW00016305,22-03-1985,Male
NASAW00016306,17-08-1984,Female
NASAW00016307,03-06-1974,Female
NASAW00016308,23-04-1974,Female
NASAW00016309,20-03-1968,Female
NASAW00016310,28-02-1973,Female
NASAW00016311,06-10-1973,Male
NASAW00016312,20-07-1983,Female
NASAW00016313,23-09-1983,Female
NASAW00016314,22-10-1983,Male
NASAW00016315,19-01-1983,Male
NASAW00016316,23-04-1983,Female
NASAW00016317,23-03-1983,Male
NASAW00016318,06-12-1982,Female
NASAW00016319,21-05-1982,Female
NASAW00016320,01-09-1981,Female
NASAW00016321,21-10-1985,Female
NASAW00016322,16-03-1980,Female
NASAW00016323,02-10-1980,Male
NASAW00016324,15-03-1986,Male
NASAW00016325,10-03-1919,Female
NASAW00016326,17-07-1978,Male
NASAW00016327,02-03-1984,Male
NASAW00016328,15-08-1978,Male
NASAW00016329,09-12-1984,Female
NASAW00016330,03-01-1979,Male
NASAW00016331,09-09-1982,Female
NASAW00016332,03-04-1954,Female
NASAW00016333,21-08-1982,Male
NASAW00016334,11-06-1983,Female
NASAW00016335,22-02-1983,Female
NASAW00016336,06-12-1982,Male
NASAW00016337,03-01-1983,Male
NASAW00016338,15-09-1954,Female
NASAW00016339,30-10-1955,Male
NASAW00016340,23-06-1986,Male
NASAW00016341,25-05-1957,Female
NASAW00016342,05-04-1962,Male
NASAW00016343,17-02-1968,Male
NASAW00016344,15-11-1985,Male
NASAW00016345,23-04-1959,Male
